TransactionID,CompletedDate
29886,2019-05-09 00:00:00.000
29891,2019-05-14 00:00:00.000
29892,2019-06-16 00:00:00.000
29893,2019-07-15 00:00:00.000
29894,2019-08-15 00:00:00.000
29895,2019-09-16 00:00:00.000
29896,2019-10-14 00:00:00.000
29897,2019-11-17 00:00:00.000
29898,2019-12-16 00:00:00.000
29899,2020-01-17 00:00:00.000
29900,2020-02-17 00:00:00.000
29901,2020-03-16 00:00:00.000
29902,2020-04-17 00:00:00.000
29903,2020-05-16 00:00:00.000
29904,2020-06-17 00:00:00.000
29905,2020-07-15 00:00:00.000
29906,2020-08-15 00:00:00.000
29907,2020-09-18 00:00:00.000
29908,2020-10-16 00:00:00.000
29909,2020-11-17 00:00:00.000
29910,2020-12-18 00:00:00.000
29911,2021-01-18 00:00:00.000
29912,2021-02-16 00:00:00.000
29913,2021-03-16 00:00:00.000
29914,2021-04-14 00:00:00.000
29915,2021-05-17 00:00:00.000
29916,2021-06-17 00:00:00.000
29917,2021-07-14 00:00:00.000
29918,2021-08-14 00:00:00.000
29919,2021-09-14 00:00:00.000
29920,2021-10-16 00:00:00.000
29921,2021-11-17 00:00:00.000
29922,2021-12-16 00:00:00.000
29932,2019-10-10 00:00:00.000
29933,2019-11-13 00:00:00.000
29934,2019-12-12 00:00:00.000
29935,2020-01-11 00:00:00.000
29936,2020-02-11 00:00:00.000
29937,2020-03-13 00:00:00.000
29938,2020-04-11 00:00:00.000
29939,2020-05-14 00:00:00.000
29940,2020-06-14 00:00:00.000
29941,2020-07-14 00:00:00.000
29942,2020-08-13 00:00:00.000
29943,2020-09-10 00:00:00.000
29944,2020-10-11 00:00:00.000
29945,2020-11-11 00:00:00.000
29946,2020-12-10 00:00:00.000
29947,2021-01-10 00:00:00.000
29948,2021-02-12 00:00:00.000
29949,2021-03-13 00:00:00.000
29950,2021-04-14 00:00:00.000
29951,2021-05-13 00:00:00.000
29952,2021-06-10 00:00:00.000
29953,2021-07-14 00:00:00.000
29954,2021-08-13 00:00:00.000
29955,2021-09-13 00:00:00.000
29956,2021-10-14 00:00:00.000
29957,2021-11-11 00:00:00.000
29958,2021-12-10 00:00:00.000
29967,2019-09-18 00:00:00.000
29968,2019-10-15 00:00:00.000
29969,2019-11-16 00:00:00.000
29970,2019-12-14 00:00:00.000
29971,2020-01-16 00:00:00.000
29972,2020-02-18 00:00:00.000
29973,2020-03-17 00:00:00.000
29974,2020-04-14 00:00:00.000
29975,2020-05-16 00:00:00.000
29976,2020-06-16 00:00:00.000
29977,2020-07-14 00:00:00.000
29978,2020-08-16 00:00:00.000
29979,2020-09-16 00:00:00.000
29980,2020-10-17 00:00:00.000
29981,2020-11-18 00:00:00.000
29982,2020-12-16 00:00:00.000
29983,2021-01-18 00:00:00.000
29984,2021-02-18 00:00:00.000
29985,2021-03-15 00:00:00.000
29986,2021-04-18 00:00:00.000
29987,2021-05-16 00:00:00.000
29988,2021-06-17 00:00:00.000
29989,2021-07-14 00:00:00.000
29990,2021-08-14 00:00:00.000
29991,2021-09-14 00:00:00.000
29992,2021-10-17 00:00:00.000
29993,2021-11-15 00:00:00.000
29994,2021-12-15 00:00:00.000
30004,2019-10-07 00:00:00.000
30005,2019-11-05 00:00:00.000
30006,2019-12-08 00:00:00.000
30007,2020-01-06 00:00:00.000
30008,2020-02-06 00:00:00.000
