CardID	DispositionID	Type	IssuedDate	ExpirationDate
1	9	Gold	2021-10-16	2024-10-16
2	19	Classic	2021-03-13	2024-03-13
3	41	Gold	2018-09-03	2021-09-03
4	42	Classic	2021-11-26	2024-11-26
5	51	Junior	2018-04-24	2021-04-24
7	56	Classic	2021-06-11	2024-06-11
8	60	Junior	2021-05-20	2024-05-20
9	76	Classic	2020-10-25	2023-10-25
10	77	Classic	2019-12-07	2022-12-07
11	79	Gold	2020-10-25	2023-10-25
12	83	Junior	2019-09-11	2022-09-11
13	87	Classic	2017-06-29	2020-06-29
14	112	Classic	2019-02-17	2022-02-17
15	114	Classic	2018-03-05	2021-03-05
16	116	Classic	2021-06-23	2024-06-23
17	127	Classic	2021-06-07	2024-06-07
18	128	Classic	2018-08-25	2021-08-25
19	130	Classic	2020-09-09	2023-09-09
20	131	Classic	2021-12-02	2024-12-02
21	132	Classic	2021-02-26	2024-02-26
22	138	Classic	2020-01-11	2023-01-11
23	146	Classic	2021-10-03	2024-10-03
24	153	Junior	2019-08-05	2022-08-05
25	158	Classic	2020-12-06	2023-12-06
26	161	Classic	2021-09-14	2024-09-14
27	167	Junior	2021-11-15	2024-11-15
28	174	Junior	2021-01-22	2024-01-22
29	192	Classic	2021-08-20	2024-08-20
30	202	Classic	2020-10-01	2023-10-01
31	208	Classic	2021-10-21	2024-10-21
32	219	Classic	2021-08-06	2024-08-06
33	221	Junior	2020-12-03	2023-12-03
34	225	Classic	2021-03-20	2024-03-20
35	231	Classic	2021-10-07	2024-10-07
36	236	Classic	2021-09-28	2024-09-28
37	238	Classic	2019-04-20	2022-04-20
38	242	Classic	2019-08-31	2022-08-31
39	254	Classic	2021-07-14	2024-07-14
40	255	Classic	2019-10-13	2022-10-13
41	256	Classic	2020-08-31	2023-08-31
42	264	Junior	2021-07-28	2024-07-28
43	267	Classic	2020-08-29	2023-08-29
44	268	Junior	2019-05-17	2022-05-17
45	272	Classic	2020-12-05	2023-12-05
46	273	Classic	2021-11-10	2024-11-10
47	280	Classic	2021-08-13	2024-08-13
48	295	Classic	2021-03-10	2024-03-10
49	305	Classic	2020-10-03	2023-10-03
50	309	Classic	2020-05-28	2023-05-28
51	321	Classic	2020-11-21	2023-11-21
52	326	Gold	2021-04-10	2024-04-10
53	333	Classic	2021-10-13	2024-10-13
54	334	Classic	2020-01-24	2023-01-24
55	335	Classic	2021-01-25	2024-01-25
56	339	Classic	2021-11-22	2024-11-22
57	347	Classic	2019-11-09	2022-11-09
58	358	Classic	2021-03-11	2024-03-11
59	365	Classic	2020-10-27	2023-10-27
60	370	Classic	2021-10-18	2024-10-18
61	374	Classic	2021-10-18	2024-10-18
63	378	Junior	2021-03-27	2024-03-27
64	402	Classic	2021-05-10	2024-05-10
65	414	Classic	2021-02-02	2024-02-02
66	425	Classic	2021-07-08	2024-07-08
67	429	Junior	2021-01-28	2024-01-28
68	434	Classic	2021-01-31	2024-01-31
69	438	Classic	2020-05-17	2023-05-17
70	439	Classic	2017-02-08	2020-02-08
71	441	Classic	2021-04-11	2024-04-11
72	447	Classic	2021-03-09	2024-03-09
73	451	Junior	2021-07-21	2024-07-21
74	453	Classic	2021-10-18	2024-10-18
